iter	MultiClass
0	1.08600043
1	1.074987188
2	1.065236902
3	1.056436597
4	1.048393076
5	1.041317221
6	1.035014828
7	1.029277154
8	1.023853086
9	1.018954054
10	1.014463992
11	1.010297884
12	1.007006206
13	1.003514557
14	1.000396171
15	0.997672582
16	0.9951459104
17	0.9927035542
18	0.9906554905
19	0.98876267
20	0.9868154334
21	0.9850934776
22	0.9835612408
23	0.9820531871
24	0.9805657899
25	0.9793098174
26	0.9782069974
27	0.9770548981
28	0.9760910949
29	0.9751269074
30	0.9742422386
31	0.9734264451
32	0.9725531898
33	0.9717955201
34	0.9711620583
35	0.9704348168
36	0.969792675
37	0.9691667317
38	0.9686574646
39	0.9681142641
40	0.967655637
41	0.9671730333
42	0.9667765849
43	0.9664192759
44	0.9660340597
45	0.9656963069
46	0.9653285118
47	0.9649189657
48	0.9645610154
49	0.9641919496
50	0.9638400171
51	0.9636150393
52	0.9632587356
53	0.9630273187
54	0.9627169658
55	0.9623518764
56	0.9620715839
57	0.9617999074
58	0.9614635226
59	0.9612053403
60	0.9608970999
61	0.9606744211
62	0.9604123722
63	0.9601394766
64	0.9598500801
65	0.9597105977
66	0.9596875568
67	0.9594935983
68	0.9592367892
69	0.9590472899
70	0.9587447383
71	0.9585099912
72	0.9583380505
73	0.9581935695
74	0.9580594061
75	0.9578599586
76	0.9576031716
77	0.9574375985
78	0.9572282925
79	0.9569768588
80	0.9567847843
81	0.9565082775
82	0.956393945
83	0.9561408289
84	0.9559538997
85	0.9557507315
86	0.9556168218
87	0.955449521
88	0.9552270575
89	0.9550262759
90	0.9548236613
91	0.9546340045
92	0.9543413259
93	0.9541131622
94	0.9539183954
95	0.9536833118
96	0.9535962378
97	0.9534945308
98	0.9533448962
99	0.9531047755
100	0.9528509881
101	0.9526840622
102	0.9524374726
103	0.952143706
104	0.9519752512
105	0.9517493945
106	0.9515312558
107	0.951279689
108	0.951027434
109	0.9508104179
110	0.9505930589
111	0.9504109824
112	0.950257293
113	0.9500458057
114	0.9499088979
115	0.9497104919
116	0.9494970623
117	0.9492866256
118	0.9491248788
119	0.9488886147
120	0.9487674271
121	0.9486326106
122	0.9484743356
123	0.9482992951
124	0.9480864924
125	0.9478868004
126	0.9477642999
127	0.9476205835
128	0.9474729933
129	0.9473077763
130	0.9471024565
131	0.9469330088
132	0.9467442521
133	0.9465597151
134	0.9462680831
135	0.9461118579
136	0.9459331584
137	0.9457012941
138	0.9455054853
139	0.9452341715
140	0.9450710112
141	0.9448563177
142	0.9447492781
143	0.9445630248
144	0.9444349825
145	0.9441444274
146	0.9439529546
147	0.9437653659
148	0.9435560724
149	0.9434683397
150	0.9432408937
151	0.9430486237
152	0.9429118117
153	0.9427231721
154	0.9425304434
155	0.9423231821
156	0.9420584835
157	0.9419105365
158	0.9418280599
159	0.941628076
160	0.9414723837
161	0.9412598351
162	0.9411156529
163	0.9408982496
164	0.9407833679
165	0.9405668579
166	0.9403569891
167	0.9401825097
168	0.9399512056
169	0.9398186944
170	0.9395703546
171	0.9394567695
172	0.9392579109
173	0.9391136128
174	0.9388650542
175	0.9386760083
176	0.9384872998
177	0.9383105825
178	0.9381078285
179	0.9378833832
180	0.9376030937
181	0.9374108967
182	0.9372483504
183	0.9370154059
184	0.9368585296
185	0.9367331645
186	0.9364987429
187	0.9363021899
188	0.9361952962
189	0.936020313
190	0.9358213108
191	0.9357050179
192	0.9355549849
193	0.9354411483
194	0.9351610263
195	0.9350143157
196	0.9348494421
197	0.9347015093
198	0.9345708172
199	0.9344079944
200	0.9341652158
201	0.9339755804
202	0.9337868472
203	0.9336028597
204	0.9335041397
205	0.933306817
206	0.9331718112
207	0.9329563821
208	0.9327116082
209	0.9325732134
210	0.9323761708
211	0.9321556662
212	0.9319928359
213	0.9318315022
214	0.9317214995
215	0.9315499303
216	0.9313050152
217	0.9310607405
218	0.9308644535
219	0.9305941695
220	0.9304161478
221	0.9302372688
222	0.9300805637
223	0.929930499
224	0.9298070162
225	0.9296164379
226	0.9294511199
227	0.9293427074
228	0.9291847098
229	0.9289922969
230	0.928737865
231	0.9286248162
232	0.9284723104
233	0.9282252124
234	0.9281091538
235	0.927905652
236	0.9277026763
237	0.9274785274
238	0.927190218
239	0.9269689983
240	0.9267377987
241	0.9266244896
242	0.9263865175
243	0.9262874035
244	0.9260719282
245	0.92587443
246	0.925622711
247	0.9254393733
248	0.9252045676
249	0.9250098757
250	0.9248249
251	0.9247009611
252	0.9244917841
253	0.9243225998
254	0.9240736348
255	0.9238663869
256	0.9236551798
257	0.9234736205
258	0.9232013138
259	0.9229592823
260	0.9227473484
261	0.9225812363
262	0.9224508072
263	0.9222355247
264	0.9221348765
265	0.9219805329
266	0.9217906415
267	0.9216104757
268	0.9214166049
269	0.921217493
270	0.9210227183
271	0.9207906466
272	0.9206294767
273	0.920444395
274	0.9202271606
275	0.9200017605
276	0.9197832081
277	0.9196948553
278	0.9195039366
279	0.9194136663
280	0.9191586245
281	0.9189204868
282	0.9187371871
283	0.9185187065
284	0.9183173801
285	0.9180869338
286	0.9178740642
287	0.9177417207
288	0.9175670454
289	0.9173996052
290	0.9172884051
291	0.9170924809
292	0.9169057235
293	0.9166782417
294	0.9164908639
295	0.9162956077
296	0.9161306454
297	0.9159040731
298	0.9157068764
299	0.9155581802
