iter	Passed	Remaining
0	8	2684
1	18	2762
2	27	2696
3	36	2683
4	45	2674
5	54	2670
6	63	2677
7	72	2649
8	82	2651
9	90	2616
10	99	2626
11	108	2594
12	113	2495
13	120	2465
14	129	2458
15	137	2440
16	147	2448
17	154	2421
18	163	2416
19	170	2389
20	180	2392
21	188	2378
22	196	2366
23	203	2345
24	212	2342
25	220	2326
26	229	2321
27	237	2302
28	245	2294
29	252	2275
30	261	2270
31	268	2252
32	278	2251
33	285	2234
34	294	2227
35	302	2215
36	311	2210
37	318	2196
38	327	2190
39	334	2174
40	343	2168
41	350	2154
42	359	2147
43	366	2133
44	375	2125
45	382	2109
46	390	2101
47	397	2088
48	405	2078
49	414	2071
50	422	2063
51	430	2053
52	437	2038
53	445	2027
54	452	2017
55	461	2011
56	469	2001
57	478	1998
58	487	1989
59	495	1983
60	503	1972
61	512	1966
62	520	1958
63	529	1951
64	538	1946
65	545	1935
66	548	1907
67	557	1901
68	565	1894
69	574	1889
70	583	1881
71	592	1874
72	600	1865
73	609	1860
74	616	1850
75	625	1844
76	633	1834
77	641	1825
78	649	1816
79	658	1811
80	667	1803
81	677	1800
82	686	1793
83	694	1785
84	703	1778
85	710	1767
86	718	1758
87	726	1749
88	733	1739
89	742	1731
90	749	1721
91	757	1713
92	765	1703
93	773	1695
94	780	1685
95	789	1677
96	796	1666
97	804	1658
98	811	1647
99	820	1640
100	827	1631
101	836	1623
102	843	1613
103	852	1605
104	859	1596
105	868	1588
106	875	1579
107	883	1571
108	891	1561
109	899	1553
110	906	1543
111	913	1533
112	922	1526
113	929	1517
114	938	1510
115	946	1501
116	955	1494
117	962	1485
118	972	1478
119	979	1469
120	988	1462
121	996	1453
122	1005	1447
123	1014	1439
124	1022	1431
125	1031	1424
126	1040	1416
127	1049	1410
128	1057	1401
129	1066	1395
130	1074	1386
131	1083	1379
132	1092	1371
133	1101	1364
134	1109	1355
135	1118	1348
136	1126	1340
137	1134	1332
138	1142	1322
139	1150	1315
140	1157	1305
141	1166	1297
142	1174	1288
143	1182	1281
144	1189	1271
145	1198	1263
146	1205	1254
147	1213	1246
148	1221	1237
149	1229	1229
150	1236	1220
151	1245	1212
152	1252	1203
153	1259	1193
154	1267	1185
155	1275	1177
156	1283	1169
157	1291	1160
158	1299	1152
159	1306	1143
160	1314	1134
161	1321	1125
162	1329	1117
163	1337	1108
164	1345	1101
165	1353	1092
166	1360	1083
167	1368	1075
168	1376	1066
169	1384	1058
170	1391	1049
171	1399	1041
172	1406	1032
173	1415	1025
174	1422	1016
175	1430	1008
176	1437	999
177	1446	991
178	1453	982
179	1462	974
180	1469	966
181	1478	958
182	1486	950
183	1496	943
184	1504	935
185	1513	927
186	1521	919
187	1530	911
188	1538	903
189	1547	895
190	1555	887
191	1563	879
192	1571	871
193	1580	863
194	1588	855
195	1596	847
196	1604	838
197	1613	831
198	1621	822
199	1630	815
200	1638	806
201	1646	798
202	1653	789
203	1661	781
204	1668	773
205	1676	765
206	1683	756
207	1692	748
208	1699	739
209	1708	732
210	1715	723
211	1724	715
212	1731	707
213	1739	699
214	1746	690
215	1754	682
216	1762	674
217	1770	665
218	1778	657
219	1785	649
220	1793	641
221	1800	632
222	1808	624
223	1815	616
224	1823	607
225	1830	599
226	1839	591
227	1846	582
228	1854	574
229	1861	566
230	1869	558
231	1877	550
232	1886	542
233	1894	534
234	1903	526
235	1910	518
236	1919	510
237	1927	502
238	1936	494
239	1943	485
240	1952	478
241	1960	469
242	1968	461
243	1976	453
244	1985	445
245	1994	437
246	2004	430
247	2012	422
248	2022	414
249	2030	406
250	2039	398
251	2047	390
252	2056	381
253	2063	373
254	2073	365
255	2081	357
256	2090	349
257	2098	341
258	2106	333
259	2114	325
260	2123	317
261	2131	309
262	2139	301
263	2146	292
264	2155	284
265	2161	276
266	2169	268
267	2176	259
268	2184	251
269	2191	243
270	2199	235
271	2207	227
272	2214	219
273	2222	210
274	2229	202
275	2237	194
276	2244	186
277	2253	178
278	2260	170
279	2268	162
280	2275	153
281	2283	145
282	2290	137
283	2297	129
284	2304	121
285	2312	113
286	2319	105
287	2326	96
288	2333	88
289	2340	80
290	2348	72
291	2355	64
292	2363	56
293	2370	48
294	2377	40
295	2385	32
296	2392	24
297	2399	16
298	2407	8
299	2414	0
