feature,importance
h2h_draw_rate,154
prob_draw_share,126
h5_shot,88
away_draw_rate_10,87
prob_max,80
odds_draw_real,74
prob_ratio_ha,74
a5_shot_ot,72
home_elo_before,67
h5_shot_ot,66
h10_ga_time_decay,65
home_draw_rate_10,61
home_w5_elo_trend,61
h5_ga_time_decay,57
a5_gf_elo_weighted,50
a5_ga_elo_weighted,48
elo_diff_before,46
away_w5_elo_trend,45
a10_gf_time_decay,45
h2h_home_ga_avg,44
prob_entropy,44
a5_ga_time_decay,38
h10_gf_time_decay,36
h2h_home_win_rate,35
h2h_home_gf_avg,35
away_w10_elo_trend,34
h5_gf,34
away_draw_rate_5,34
a5_shot,34
home_w10_elo_trend,33
a5_gf_time_decay,31
a10_ga_time_decay,30
h5_ga_elo_weighted,30
h5_gf_elo_weighted,27
h5_gf_time_decay,27
h10_ga,25
away_elo_before,23
h2h_cnt,22
odds_lose_real,21
a10_ga,15
a5_gf,14
h10_gf,13
a10_gf,8
h5_ga,7
home_draw_rate_5,7
league_SER,6
league_E0,4
a5_ga,2
league_LLA,1
prob_home_favorite,0
league_D1,0
league_LIG,0
