feature,group,importance_gain,importance_pct
prob_ratio_ha,赔率/盘口,36713.748390197754,30.31891078134517
odds_lose_real,赔率/盘口,10330.068907260895,8.530767118511156
prob_entropy,赔率/盘口,6186.148743629456,5.108639135531804
prob_max,赔率/盘口,6098.385042667389,5.036162204246302
prob_home_favorite,赔率/盘口,3891.348526954651,3.213549527929897
prob_draw_share,赔率/盘口,3354.1996479034424,2.7699617807141617
odds_draw_real,赔率/盘口,2745.8527257442474,2.2675773371258554
h2h_draw_rate,交锋,2314.2477123737335,1.911149718946294
h2h_home_win_rate,交锋,2118.6423926353455,1.7496151304734895
elo_diff_before,ELO,1840.7850985527039,1.5201552992488787
home_elo_before,ELO,1785.981377363205,1.4748973453191796
h5_shot,历史攻防,1737.7759053707123,1.435088350907069
away_w5_elo_trend,ELO扩展,1637.253199338913,1.3520747908835649
home_value_rel,身价,1634.619330406189,1.3498996918897956
h2h_home_ga_avg,交锋,1629.301772594452,1.3455083516443047
h5_shot_ot,历史攻防,1566.5475676059723,1.293684737177634
a5_shot,历史攻防,1557.349293231964,1.2860886274825982
a10_ga_time_decay,时间衰减,1542.194857120514,1.2735738062902373
a5_ga_elo_weighted,ELO扩展,1502.2523069381714,1.2405884896593378
a5_shot_ot,历史攻防,1497.5260229110718,1.2366854345361735
h5_gf_elo_weighted,ELO扩展,1482.3755888938904,1.2241739183492777
h10_ga_time_decay,时间衰减,1418.6707649230957,1.1715652646704422
h5_gf_time_decay,时间衰减,1418.6148340702057,1.1715190759097447
h5_ga_elo_weighted,ELO扩展,1329.2159790992737,1.0976918033847258
away_elo_before,ELO,1298.9165275096893,1.072669940737937
away_w10_elo_trend,ELO扩展,1296.0309898853302,1.0702870089582845
home_w10_elo_trend,ELO扩展,1269.7767362594604,1.048605747626601
h10_gf_time_decay,时间衰减,1256.526912689209,1.037663791647999
a10_gf_time_decay,时间衰减,1248.4483289718628,1.0309923437652424
home_w5_elo_trend,ELO扩展,1242.3832714557648,1.025983704065478
a5_ga_time_decay,时间衰减,1221.318920135498,1.0085883626375625
away_value_rel,身价,1204.1319770812988,0.9943950586053473
value_ratio,身价,1201.2265453338623,0.9919956978809781
a5_gf_time_decay,时间衰减,1149.2666323184967,0.949086214758303
h5_ga_time_decay,时间衰减,1139.4418609142303,0.9409727319156578
a5_gf_elo_weighted,ELO扩展,1065.1968400478363,0.8796597834342569
value_diff_rel,身价,939.4772684574127,0.7758381732295992
h2h_home_gf_avg,交锋,937.7966301441193,0.7744502701875317
value_diff_signed,身价,795.3549592494965,0.6568192327489015
away_draw_rate_10,平局率,787.8810706138611,0.6506471535505259
home_draw_rate_10,平局率,740.5740306377411,0.6115801013628376
h10_ga,历史攻防,656.0154592990875,0.5417500270003097
a10_ga,历史攻防,627.5990316867828,0.5182832013211305
h10_gf,历史攻防,527.4153308868408,0.435549598257342
a10_gf,历史攻防,410.5119209289551,0.3390085417877587
h2h_cnt,交锋,370.1655797958374,0.3056897669198863
away_draw_rate_5,平局率,367.3704512119293,0.30338149664311653
home_draw_rate_5,平局率,320.031209230423,0.26428785142771793
a5_gf,历史攻防,309.30714082717896,0.2554317120415852
a5_ga,历史攻防,300.46755862236023,0.24813181715305838
h5_gf,历史攻防,282.2132000923157,0.23305702114582544
league_SER,联赛,206.47380876541138,0.17050999315325735
h5_ga,历史攻防,195.23000049591064,0.16122464271335074
league_D1,联赛,115.33724975585938,0.09524769162625919
league_LIG,联赛,115.322350025177,0.09523538714564818
league_LLA,联赛,81.77448987960815,0.0675309270113048
league_E0,联赛,79.82050037384033,0.06591728536231216
